Job Title,Job CompanyName,Job Location,Job Descriptions,
Développeuse ou développeur PHP de logiciels libres,24ème,Paris (75),Le 24ème recherche une développeuse ou un développeur web PHP qui pourra s’intégrer dans son équipe de développement comme dans la vie de l’entreprise.
Alternance Développeur Java - H/F - Paris,CAPGEMINI ENGINEERING,Paris (75),Dans ce contexte  nous cherchons actuellement des développeurs Java en alternance pour renforcer nos équipes. Et la réussite de nos projets est conditionnée par…
Développeur Python / Flask et/ou Django - CDI - Paris,TechByTech,Télétravail hybride à 75004 Paris,Elle accompagne également les secteurs public et privé dans le développement et le déploiement de produits stratégiques.
Développeur React Next,Medcom,Télétravail hybride à 75009 Paris 9e,Nous recherchons un developpeur expérimentée sur ces technologie pour nous aider à résoudre différends problèmes ponctuel dans les fonctionnalité du site.
Concepteur(ice) développeur(se) Alternance,Bynativ,Paris (75),Vos missions consistent à intervenir sur l’ensemble du projet : développement  test et maintenance. Comprendre et appliquer les spécifications techniques et…
Développeur / Développeuse full-stack,Pôle Emploi,Paris (75),Nous recherchons deux profils  développeur (euse) Full Stack React pour intervenir chez l'un de nos clients. Techno et méthodologie : Javan React.
DÉVELOPPEUR WEB REACTJS (H/F),Degetel,92100 Boulogne-Billancourt,Réaliser les tests et les corrections des anomalies éventuelles. Une expérience d’un an minimum sur du développement Javascript / React.
Développeur Full Stack (H/F) | POEI,DataScientest,France,En tant que Développeur Full Stack  vous serez un véritable expert pour nos plus grandes entreprises partenaires ! Vous êtes inscrit(e) à Pôle Emploi.
Développeur Web (stage) H/F,The Coding Machine,75008 Paris 8e,TheCodingMachine a été fondée en 2006 par deux passionnés de l'informatique. Depuis lors  nous avons élargi notre empreinte et sommes désormais présents en…
Développeur C# WPF - H/F/NB,Ubisoft,Télétravail hybride à Paris (75),Vous intégrerez le studio de développement de Paris où vous serez sous la responsabilité du Lead Tools Programmer au sein d'une équipe composée d'une dizaine de…
Développeuse ou Développeur Informatique - Stage,EDF,93206 Saint-Denis,Mise en ligne le 30/10/2023. Principales caractéristiques de l'offre d'emploi. 2  rue Ampère 93206 Saint-Denis. EDF est labellisé Happy Trainees.
Développeur Fullstack H/F,Quadra Informatique,Paris (75),Quadra Informatique  fort de ses 24 ans d’expérience et de ses projets réussis avec ses partenaires  grands comptes régionaux et nationaux  trouve sa force dans…
Concepteur-Développeur F/H,La Sécu recrute,Télétravail hybride à Paris (75),Vous intégrez la ligne métier offre de service et rejoignez une équipe de concepteurs développeurs en charge des interactions entre la CNAV et ses usagers  le…
Développeur Front-End VueJS (IT) / Freelance,WHEEL OF WORK,Paris (75),En tant que développeur front-end Vue.js  vous serez responsable de : Nous sommes à la recherche d?un développeur front-end expérimenté spécialisé dans Vue.js …
Full Stack Developer JS H/F,Dipeeo,Télétravail hybride à 75009 Paris 9e,En tant que développeur fullstack JS  ta mission sera de prendre part au développement de la plateforme digitale Dipeeo en participant à la réflexion et à la…
CDI - Développeur Back Java Vie du Client - (F/H/X),Canal Plus,Puteaux (92),Séries  films  documentaires  émissions  sports  …Ce qui nous tient à cœur c’est de créer les meilleurs contenus et une expérience immersive pour nos millions d…
Développeur full stack CDI dans une start-up 100% télétravail en France OK,Troov,Télétravail à Paris (75),Le développeur sera intégré à l’équipe de développement qui se constitue aujourd’hui de 2 développeurs seniors et de 6 développeurs juniors.
STAGE - Développeur.euse FRONT JS - PLAYER (F/H/X),Canal Plus,Puteaux (92),Echanges techniques  écoute et support avec les développeurs des applications se reposant sur le Player : myCanal  décodeurs  applications internes Canal+.
Développeur Web PHP,ALPHALIVES,Télétravail à 75013 Paris 13e,Développer des sites web sur mesure en PHP/MySQL avec le framework Laravel  ainsi que jQuery et Bootstrap. Développer des applications mobiles hybrides (front…
Développeur Front-End,AZAP,Paris (75),Mettre en œuvre des recommandations UX. Prendre en charge les tests et outils de test pour la partie Front-End.
Junior Fullstack Developer (React.js / Node.js),IndieNation,Télétravail hybride à 75004 Paris,Participer au développement des applications web et des outils de gestion de l'énergie. Vos compétences vous permettent d'être autonome dans une petite équipe.
Développeur Fullstack JS (Node/React) (IT) / Freelance,VISIAN,Paris (75),Nous recherchons un développeur possédant ces qualités : ??? NodeJS pkg  transmission sur port serie.
STAGE - DevOps DataCenter (F/H/X),Canal Plus,Puteaux (92),Daily meeting  sprint planning  POC  code review  open source… tel est notre quotidien. Vous participez à l’élaboration et l’optimisation des flux d…
Développeur Web (H/F),Netelogy SARL,75006 Paris 6e,Nous recherchons un développeur web talentueux pour rejoindre notre équipe. Capacité à travailler en équipe et à collaborer efficacement avec d'autres…
Stage Développeur H/F,Captag - Scan Match,75020 Paris 20e,Tu travailleras avec des marques de tous les secteurs d'activités et sur des évènements prestigieux. On aimerait que tu connaisses le C# et l’Android (Java)…
Développeur Python CDI #Paris Salaire : 60k€ - 65K€ + packages.,Talented International,Paris (75),Avoir une expérience significative sur un cloud Public (aucune obligation de certification). Expérience en Marchine Learning Tools  Panda.
Alternance - Développeur Mobile (H/F) - Paris,Capgemini,Paris (75),Pour que l’Expérience Client soit plus concrète qu’une expression à la mode  venez en comprendre les différentes implications  à la fois sur les aspects…
Développeuse / Développeur Fullstack H/F en stage - IDF,CAPGEMINI ENGINEERING,Paris (75),Être Développeur Fullstack c’est être passionné pour développer des applications serverless à base de Microservices  des Front-End de type SPA (angular  react …
Développeur React JS,Kéoni Consulting,Paris (75),A l’évolution de la plateforme web (site web  site mobile  back Office et api) : ajout de fonctionnalités  développement  documentation.
Alternance - Développeur JS H/F,CAPGEMINI ENGINEERING,Paris (75),Sogeti est une marque du groupe Capgemini  avec une présence dans plus de 100 sites à travers le monde. Au niveau de ses projets  le SogetiLabs Paris applique…
Développeur WEB H/F,American Hospital of Paris,92200 Neuilly-sur-Seine,Vous serez en charge du développement des plateformes Web. Vous répondrez aux besoins des clients internes exprimés dans un cahier des charges.
Développeur Full Stack H/F en Alternance,AT Consulting,Paris (75),Tu aimes le milieu de l'informatique Réseau. Tu as un bon sens du relationnel. Maintenir et corriger des sites Internet. Prise en charge du transport quotidien.
Stage Développeur Full Stack H/F,Philips,Paris (75),Ce poste vous donne la possibilité d’optimiser la façon dont on suit le progrès sur des projets d’annotation d’électrocardiogrammes par des experts médicaux.
Développeur H/F Stage de préembauche,I-TRACING,Télétravail hybride à Courbevoie (92),Proposer des solutions techniques pour répondre aux besoins métiers . Développer de nouvelles fonctionnalités en autonomie. Compétences en HTML et CSS.
Développeur Front End – JS,INVYO,Paris (75),Elle est dirigée par des responsables experimentés  pédagogues et à l’écoute. Intégration des maquettes (Material UI  custom template).
Backend Developer Go H/F,Satelia,Télétravail hybride à 75014 Paris 14e,Si tu coches la plupart de ces cases et que tu souhaites en savoir plus avant de venir nous aider à faire du code qui sauve la vie de nos aînés (littéralement) …
Développeur full stack - Stage,Ezus,75010 Paris 10e,1+ expériences professionnelles longue en tant que développeur. Méthodologie de travail : Scrum (cycles de 2 semaines). Salaire en fonction de l'expérience.
Développeur Full Stack H/F - Alternance,Flying For You,Télétravail hybride à 92800 Puteaux,Dans le pôle tech  tu travailleras avec le lead Dev Full Stack et notre Product Owner. Notre Espace Admin (ERP pour création et gestion des campagnes).
Développeur Web F/H,3KLES Consulting,Paris 9e (75),Dans le cadre de notre croissance  nous souhaitons renforcer notre équipe au sein de notre Digital Factory sur des compétences de Développeur Front End Angular.
Dev Java et REACT JS et nodes JS SENIOR (IT) / Freelance,BI SOLUTIONS,Paris (75),Encadré des développeurs juniors et partager vos connaissances. Dev Java et REACT JS et nodes JS SENIOR. Expérience mini souhaitée : 6-7 ans d?expériences.
Développeur(euse) Web Junior(e) (H/F) – CDI,Belacom,Télétravail hybride à Issy-les-Moulineaux (92),Les missions du/de la développeur(euse) : Référence de l’offre à rappeler : DVJR. Belacom est le premier distributeur-intégrateur français de solutions de…
Développeur fullstack- H/F/X,Société Générale,Télétravail hybride à La Défense (92),Coder est pour vous une passion et pas seulement une compétence ? Vous aimez participer à la chaîne de conception de solutions informatiques pour répondre à des…
Developpeur.euse Front-End,Atelier Daruma,Paris (75),Nous recherchons un(e) développeur(euse) Front-End React passionné(e) pour rejoindre notre équipe dynamique. Développer des applications Web en utilisant React …
Développeuse / Développeur Frontend H/F en stage - IDF,CAPGEMINI ENGINEERING,Paris (75),Plus de 50 ans d’expérience dans différents secteurs d’activité. Près de 300 000 collaborateurs dans le monde. Plus de 13 milliards € de chiffre d’affaires.
DEVELOPPEUR FRONT-END JAVASCRIPT JUNIOR H/F,CA RECRUTEMENT,Télétravail hybride à Paris (75),Au sein d'une équipe agile composée de 6 développeurs vous aurez pour principales missions : CA RECRUTEMENT recherche pour son client  référence en matière d…
Stagiaire développeur back-end H/F,Roz'ho,Télétravail hybride à 75015 Paris 15e,En collaboration directe avec le CTO et un développeur back ta mission sera de participer à l'évolution du market place. Durée du contrat : 6 mois.
Développeur Stagiaire en React et Next.js H/F,YUPULSE,Paris (75),Actuellement  nous recherchons pour le compte de l'un de nos clients  un groupe spécialisé dans le secteur d'activité de la programmation informatique  son/sa…
Ingénieur DevOps sénior – Télétravail complet possible – Société à fort impact social : Récompensée B Corp - H/F,HumanRaise,Télétravail à Paris (75),Recueillir les besoins des développeurs au travers d'échanges et de partage d'expérience. Argo / Dynatrace / Terraform / Kubernetes / Aws / Agile.
CDI - Développeur React H/F,Aprime,Paris (75),Vous recherchez une nouvelle mission ? Notre équipe recherche un Développeur react H/F  sur la région Parisienne ! Étude et analyse de l'existant.
Développeur Typescript / Node.js / AWS / Microservice Full remote H/F,VeoNum,Télétravail à Paris (75),Rejoins notre équipe et deviens un maître sur AWS ! Chez Veonum  nous comprenons ta passion pour l'innovation et le désir de repousser les limites de la…
Développeurs Java Spring,Kéoni Consulting,Paris (75),Intervenir sur un produit M2M permettant la gestion de cartes SIM dédiées aux objets connectés. Langage / Framework : Java  Spring  Spring Boot  Hibernate (ou…
Développeur-Concepteur H/F,ACTION LOGEMENT,75013 Paris,Vous rejoignez une équipe Etudes composée de 10 personnes  au sein du Service Etudes et Développements (24 personnes). Profil requis : Développeur PHP et SQL.
Développeuse - Développeur Full Stack H/F,SACEM,92919 La Défense,La musique accompagne nos vies et  depuis 171 ans  la Sacem (Société des auteurs  compositeurs et éditeurs de musique) accompagne celles et ceux qui la créent.
CDI - Ingénieur / Ingénieure DevOps - F/H/X,Canal Plus,Puteaux (92),Séries  films  documentaires  émissions  sports  …Ce qui nous tient à cœur c’est de créer les meilleurs contenus et une expérience immersive pour nos millions d…
Développeur JAVA Junior – H/F,Up Sourcing,Paris (75),[Startup/ Comparateur] Développeur JAVA Junior – H/F. Startup créée en 2012  pionnière sur le marché  qui propose une solution de comparaison d’assurances.
Développeur Python,Stagup,75009 Paris,Intuition Software est une entreprise du web qui réalise des outils en mode SaaS à l'usage des professionnels du recrutement. Avantages 1000€ par mois.
Développeur front-end F/H,Direction du numérique (DNUM) des ministères...,Télétravail hybride à 75015 Paris 15e,Vous souhaitez intégrer une Direction numérique (DNUM) à taille humaine (220 collaborateurs) et évoluer sur un périmètre étendu alors rejoignez la Direction du…
Concepteur ou conceptrice /Développeur ou d
